state,stateabb,year,binge_all,binge_female,binge_male,poverty
Alabama,AL,2019,10.0,10.5,9.4,25.4
Alabama,AL,2021,,,,25.8
Alaska,AK,2019,13.1,15.2,10.5,17.7
Alaska,AK,2021,,,,16.7
Arizona,AZ,2019,14.7,15.8,13.4,21.9
Arizona,AZ,2021,11.3,11.9,10.9,21.2
Arkansas,AR,2019,12.2,9.1,15.2,27.8
Arkansas,AR,2021,9.6,11.2,7.9,27.2
California,CA,2019,7.1,8.1,6.1,19.6
California,CA,2021,,,,20.0
Colorado,CO,2019,13.1,14.1,11.6,15.3
Colorado,CO,2021,13.8,13.6,14.4,15.8
Connecticut,CT,2019,12.9,14.4,11.5,16.6
Connecticut,CT,2021,7.0,8.5,5.6,16.0
Delaware,DE,2019,,,,17.3
Delaware,DE,2021,8.4,11.2,5.8,18.6
District of Columbia,DC,2019,8.5,8.9,7.7,20.1
District of Columbia,DC,2021,6.1,7.8,4.2,20.8
Florida,FL,2019,12.4,12.6,12.0,21.9
Florida,FL,2021,12.2,13.7,10.7,22.0
Georgia,GA,2019,6.2,6.4,5.6,22.3
Georgia,GA,2021,14.3,16.6,12.2,22.4
Guam,GU,2019,8.2,8.6,7.9,
Hawaii,HI,2019,10.9,13.2,8.1,14.6
Hawaii,HI,2021,8.3,9.2,7.6,16.7
Idaho,ID,2019,15.9,16.0,15.9,20.1
Idaho,ID,2021,11.7,13.3,9.6,19.4
Illinois,IL,2019,10.1,10.1,10.2,18.7
Illinois,IL,2021,11.6,15.2,8.1,19.2
Indiana,IN,2019,,,,20.9
Indiana,IN,2021,10.5,12.3,8.8,20.1
Iowa,IA,2019,11.2,10.2,12.2,18.4
Iowa,IA,2021,9.7,10.1,9.4,18.6
Kansas,KS,2019,18.8,18.6,19.0,19.5
Kansas,KS,2021,13.3,12.0,13.7,20.1
Kentucky,KY,2019,10.3,8.6,11.8,25.3
Kentucky,KY,2021,8.0,8.9,7.0,26.2
Louisiana,LA,2019,10.7,8.8,12.6,28.5
Louisiana,LA,2021,11.0,10.6,11.2,29.3
Maine,ME,2019,,,,18.6
Maine,ME,2021,,,,18.9
Maryland,MD,2019,12.0,12.6,10.9,14.7
Maryland,MD,2021,9.8,11.0,8.4,15.8
Massachusetts,MA,2019,15.0,14.9,15.1,15.0
Massachusetts,MA,2021,11.4,12.1,10.7,15.9
Michigan,MI,2019,11.2,12.3,10.1,21.1
Michigan,MI,2021,6.8,8.2,5.4,21.2
Minnesota,MN,2019,,,,15.1
Minnesota,MN,2021,,,,14.9
Mississippi,MS,2019,10.1,9.5,10.8,30.6
Mississippi,MS,2021,9.7,9.9,9.2,30.5
Missouri,MO,2019,15.2,16.6,13.4,21.6
Missouri,MO,2021,14.1,15.7,12.7,20.9
Montana,MT,2019,17.5,18.3,16.9,21.6
Montana,MT,2021,16.4,17.6,15.3,19.5
Nebraska,NE,2019,8.2,10.1,6.3,17.8
Nebraska,NE,2021,9.1,9.4,8.5,17.9
Nevada,NV,2019,13.3,14.8,12.0,21.2
Nevada,NV,2021,10.3,11.8,8.2,23.1
New Hampshire,NH,2019,14.4,14.8,13.8,12.9
New Hampshire,NH,2021,11.2,12.0,10.5,12.0
New Jersey,NJ,2019,15.3,16.6,14.0,15.1
New Jersey,NJ,2021,15.2,13.6,16.3,16.0
New Mexico,NM,2019,12.1,13.2,11.0,27.2
New Mexico,NM,2021,8.1,9.8,6.5,29.8
New York,NY,2019,12.7,13.9,11.0,19.9
New York,NY,2021,10.2,11.1,8.4,21.4
North Carolina,NC,2019,12.5,14.0,11.3,22.8
North Carolina,NC,2021,9.9,11.1,8.4,22.2
North Dakota,ND,2019,15.6,16.1,15.2,17.5
North Dakota,ND,2021,14.0,14.5,13.6,16.9
Ohio,OH,2019,13.4,14.5,12.3,21.1
Ohio,OH,2021,12.6,13.9,11.4,21.2
Oklahoma,OK,2019,13.2,13.4,13.0,24.8
Oklahoma,OK,2021,13.1,14.7,11.7,25.3
Oregon,OR,2019,,,,18.9
Oregon,OR,2021,,,,20.3
Pennsylvania,PA,2019,11.2,11.0,11.4,19.1
Pennsylvania,PA,2021,9.8,10.2,9.5,19.1
Puerto Rico,PR,2019,10.1,9.9,10.4,
Puerto Rico,PR,2021,6.3,7.7,5.0,
Rhode Island,RI,2019,10.7,11.2,10.2,16.8
Rhode Island,RI,2021,8.2,8.3,8.2,18.5
South Carolina,SC,2019,9.2,8.8,9.4,23.0
South Carolina,SC,2021,9.3,10.0,8.6,23.6
South Dakota,SD,2019,14.9,16.0,13.2,18.4
South Dakota,SD,2021,11.1,10.7,11.5,19.3
Tennessee,TN,2019,8.8,7.3,10.2,22.8
Tennessee,TN,2021,13.4,17.4,9.3,23.0
Texas,TX,2019,11.5,12.5,10.4,22.9
Texas,TX,2021,13.2,14.1,12.4,23.3
United States,US,2019,13.7,14.6,12.7,20.3
United States,US,2021,10.5,12.2,9.0,20.6
Utah,UT,2019,4.3,4.7,3.9,16.2
Utah,UT,2021,3.6,3.9,3.3,15.1
Vermont,VT,2019,15.2,15.6,14.8,17.4
Vermont,VT,2021,12.1,13.2,11.3,16.5
Virginia,VA,2019,12.7,13.4,11.9,16.1
Virginia,VA,2021,10.5,11.9,9.2,16.6
Washington,WA,2019,,,,15.8
Washington,WA,2021,,,,16.5
West Virginia,WV,2019,16.4,16.1,16.2,26.1
West Virginia,WV,2021,12.2,11.8,12.7,27.6
Wisconsin,WI,2019,,,,16.9
Wisconsin,WI,2021,,,,17.8
Wyoming,WY,2019,,,,16.9
Wyoming,WY,2021,,,,19.2
